X,Y,Id,ORIG_FID,Lat
249584.65411079209,1455413.8353552595,0,198,
249591.14855823852,1455422.6628000382,0,199,
249583.05804193951,1455434.6400993392,0,200,
249592.3890769342,1455439.1435448155,0,201,
249602.45900308527,1455447.2632151116,0,202,
249617.97789782006,1455453.5736292489,0,203,
249640.37665705383,1455465.9368818197,0,204,
249647.06834313832,1455452.1952117234,0,205,
249619.56965918001,1455422.9767313842,0,206,
249612.84443496447,1455427.9478626903,0,207,
249672.87851336505,1455502.924314728,0,208,
249691.81720634829,1455493.2657031845,0,209,
249701.46679970808,1455497.7953565549,0,210,
249708.33275094256,1455501.8302604575,0,211,
249718.7308967365,1455497.3852515649,0,212,
249727.05205921363,1455500.6793206558,0,213,
249729.97809715476,1455507.2244283948,0,214,
249738.46174157318,1455514.5096618291,0,215,
249681.45826658141,1455479.9690636452,0,216,
249681.31156706437,1455486.5935152676,0,217,
249699.8716207277,1455415.6061136629,0,218,
249757.43127330299,1455542.2876873463,0,219,
249745.2168595707,1455536.6765887421,0,220,
249756.63914963603,1455522.0868009701,0,221,
249723.40741650667,1455523.8330544624,0,222,
249758.22492110636,1455560.9944008365,0,223,
249850.44781919383,1455537.8067338057,0,224,
249868.91531168856,1455544.2853870373,0,225,
249755.31623032503,1455441.2167433966,0,226,
249791.89404413942,1455298.9418288376,0,227,
249718.76372915786,1455344.2182904501,0,228,
249716.03974469099,1455285.2604046185,0,229,
249710.12530660816,1455227.6181912012,0,230,
249705.08498402871,1455194.3864580709,0,231,
249703.98960683867,1455167.2586746477,0,232,
249694.34346455988,1455145.3197385259,0,233,
249724.45249586832,1455127.8644873556,0,234,
249715.28051252849,1455133.4875236824,0,235,
249713.43672509305,1455118.6729188133,0,236,
249666.45427483972,1455102.7357365433,0,237,
249704.54996033851,1455087.8178748824,0,238,
249697.67923307139,1455061.274179602,0,239,
249709.1759099327,1455054.1054451913,0,240,
249697.14416085556,1455040.987349188,0,241,
249678.86606229376,1455064.329464633,0,242,
249660.40623323526,1455063.055070255,0,243,
249664.64995524194,1455047.1554604862,0,244,
249674.42109877337,1455037.66326827,0,245,
249644.45261229575,1455065.8305083103,0,246,
249658.40131872054,1455082.7867651265,0,247,
249647.87298210338,1455090.9920542538,0,248,
249677.37951246835,1455199.9692644104,0,249,
249524.56058218796,1455007.6726919226,0,250,
249528.39638787415,1454992.2506969459,0,251,
249530.85320327245,1454983.5726510268,0,252,
249454.50422245078,1455006.9717863649,0,253,
249479.27588657662,1455014.2076520082,0,254,
249475.0559460707,1455028.0874118246,0,255,
249468.26990198065,1455036.0408941992,0,256,
249479.22665551398,1455050.8139276374,0,257,
249439.35280845221,1455037.6258524545,0,258,
249402.18232460413,1455015.9456652235,0,259,
249523.5782201495,1455035.6029844526,0,260,
249524.42050811742,1455024.5500767305,0,261,
249520.74940702319,1455052.000652466,0,262,
249511.75842608325,1455064.4226541091,0,263,
249520.67466899566,1455065.0965396706,0,264,
249517.88969644252,1455078.2291814871,0,265,
249461.73397649266,1455091.1987516955,0,266,
249449.68879615143,1455101.2793968581,0,267,
249459.31303415168,1455108.9192558881,0,268,
249468.0546900183,1455138.700781079,0,269,
249437.83015440684,1455148.7140488029,0,270,
249377.51585921831,1455266.1289717127,0,271,
249365.63941193838,1455277.712006731,0,272,
249350.33296293672,1455254.6393881571,0,273,
249376.551201961,1455200.7100123856,0,274,
249126.67885920033,1455249.2884504534,0,275,
249141.17987058684,1455268.2717253342,0,276,
249120.67876313161,1455265.9497782793,0,277,
249131.13503145147,1455280.0408650246,0,278,
249111.8200828582,1455278.658298254,0,279,
249115.19391119294,1455290.818986671,0,280,
249162.72754487395,1455285.9339955933,0,281,
249119.26777397934,1455312.1116091162,0,282,
249080.17097378429,1455317.1136826929,0,283,
249068.39699190203,1455331.6796749383,0,284,
249056.54363486264,1455343.0693596005,0,285,
249084.77473299112,1455346.6941585205,0,286,
249079.06562944688,1455338.9179160725,0,287,
249072.13080173451,1455354.8875673208,0,288,
252792.07244098745,1455883.2574434523,0,289,
